"id","created","screenName","replyToSN","favoriteCount","retweetCount","longitude","latitude","text"
"926156803783585792",2017-11-02 18:39:23,"USJeepSales",NA,1,0,NA,NA,"eBay: 2015 Jeep Compass Sport Sport Utility 4-Door 2015 Jeep Sport https://t.co/yoGTQkmzFW #jeep #jeeplife https://t.co/ZLmHPV0USl"
"926154428276727810",2017-11-02 18:29:57,"tucarroganga",NA,0,0,NA,NA,"Jeep, Compass - 2008
https://t.co/DojNhv1S2D"
"926153994254331905",2017-11-02 18:28:13,"JCChryJeep",NA,0,0,NA,NA,"Jeep, the American automaker, has revealed a special edition of its entry-level SUV named as Compass Night Eagle.... https://t.co/XbMSnJAEGN"
"926153456355893250",2017-11-02 18:26:05,"JCChryJeep",NA,0,0,NA,NA,"The 2017 Jeep Compass, equipped with optional front crash prevention, has been named the winner of the Insurance... https://t.co/XSLH90wOcJ"
"926149457544171520",2017-11-02 18:10:12,"Mangoletsi",NA,0,0,NA,NA,"Our #Jeep range is expanding. Register your interest in the forthcoming #Jeep #Compass here! https://t.co/85NpYyd1JH https://t.co/43vLPSs9OO"
"926148712560234497",2017-11-02 18:07:14,"IndianTouristB",NA,0,0,NA,NA,"Watch this beautiful tvc of @Jeep #Compass as they drive across #India in their many commercials… https://t.co/FDjAmb27if"
"926147239378026496",2017-11-02 18:01:23,"PoageChrysler",NA,0,0,NA,NA,"Ready to start going on more adventures? Let the Jeep Compass lead the way!

https://t.co/V8KZHL6zth https://t.co/yw26kqHHcJ"
"926138177102012417",2017-11-02 17:25:22,"LT_bosslady",NA,0,0,NA,NA,"My new baby Jeep Compass <ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B8><U+0098> https://t.co/fNZdO1qb8B"
"926137211505950720",2017-11-02 17:21:32,"kailashkaushik8",NA,0,1,NA,NA,"RT @vinirish: @ChandrusWeb Yes we have purchased a jeep compass,found mumbai more expensive than our hometown mussoorie-taxes shd be same p…"
"926135970361159683",2017-11-02 17:16:36,"MarkJamesYoung",NA,0,6,NA,NA,"RT @FiatChrysler_NA: The @Jeep® #Compass recorded its best October sales ever, with sales up 81%: https://t.co/cwiqjbD7xm https://t.co/iWLv…"
"926134072807653381",2017-11-02 17:09:04,"electronicspec",NA,1,0,NA,NA,"#Manufacturer @SKFgroup supplies @Jeep Compass with #wheel hub #bearings
https://t.co/Wj5zRn874U https://t.co/aoG30Bj2rC"
"926133490223116288",2017-11-02 17:06:45,"MichianaCDJR",NA,0,6,NA,NA,"RT @FiatChrysler_NA: The @Jeep® #Compass recorded its best October sales ever, with sales up 81%: https://t.co/cwiqjbD7xm https://t.co/iWLv…"
"926129287928864775",2017-11-02 16:50:03,"vinirish","ChandrusWeb",0,1,NA,NA,"@ChandrusWeb Yes we have purchased a jeep compass,found mumbai more expensive than our hometown mussoorie-taxes shd… https://t.co/xgtzGwOWHL"
"926122589583544320",2017-11-02 16:23:26,"daveb978",NA,0,0,NA,NA,"New Jeep Compass Saco ME 04072 https://t.co/WG0FVzmwpp | <ed><U+00A0><U+00BD><ed><U+00BA><U+0080> by https://t.co/tGUJIoxWf8"
"926120450152914944",2017-11-02 16:14:56,"StarNissan",NA,0,0,NA,NA,"2016 Jeep Compass Niles, Skokie, Chicago, Evanston, Park Ridge, IL SP10689: https://t.co/vbCdbLnAbB via @YouTube"
